InputStoryid,InputSentence1,InputSentence2,InputSentence3,InputSentence4,RandomFifthSentenceQuiz1,RandomFifthSentenceQuiz2,AnswerRightEnding
9f32f9ef-0b7b-461b-953f-3d7da39bac87,Sammy coffee grinder was broken.,He needed something crush up coffee beans.,He put coffee beans plastic bag.,He tried crushing them hammer.,Sammy was not that coffee.,It worked Sammy.,2
3972aeda-e5f8-4776-abbb-8566bf38930a,Last week Jared was driving work.,He had been partying hard night before.,He did n't get sleep.,he knew it car was facing oncoming traffic.,Jared swerved quickly and managed avoid collision.,Jared decided accelerate.,1
a5559b28-d55c-4973-b2ea-18768a60ed06,Bobby needed get home work late one night.,He decided he was going hail taxi.,When he was taxi he realized he knew driver.,way home they chatted things.,Bobby asked be taken restaurant.,Bobby found time passed quickly.,2
411b9523-5254-41ff-b740-e039d0423201,Joe grew big batch peas garden.,He brought peas inside and shelled them all.,Then he cooked them up big pot.,"He added ham , bacon , and carrots make thick pea soup.",Joe thought working garden he ate yummy soup.,Joe dumped pot outside he hated soup.,1
36b638c3-f2d1-44dc-bab1-5bf2a9d7fdff,Aliza had long lost ex - boyfriend she was bound find.,"problem was , he moved new state.",She decided use Facebook find him.,"She found him , but he was married kids.","Aliza was sad , but she never contacted him again.",He fell love Aliza and they were married.,1
80b6447f-4c37-4194-9862-3785e5075463,Lina went see how candy canes were made.,She watched workers added dye hot candy.,"Then , they stretched it out make it shiny.","Finally , they shaped it cane and let it cool.",Lina now knew candy canes were boring.,Lina felt new appreciation candy canes.,2
dd3506fe-31ce-4bbb-9000-02c222da3466,"When I first moved house , I did n't know neighbors.","mowing one day , I found kickball yard.",I felt this was perfect opportunity meet neighbors.,I grabbed ball and went next door return it.,They were very friendly.,I threw kickball closed window.,1
ad42188e-383b-4c7d-9cd9-906725b7ce12,Bev had been studying very hard.,She could n't wait weekend.,"When it came , she slept very late.",Then she got up and went out party.,"Sunday night , Bev was exhausted again.","Bev got mail and fed fish , just she did day.",1
74b4e567-5d81-42b7-8434-aabf5e9c0027,"Newly married , Sue liked cook husband.",Unfortunately Sue was terrible cook.,Bob ate food anyway and told her it was good.,first anniversary Bob gave Sue cooking lessons.,She never cooked again.,She became better cook.,2
f8ff777f-de4d-4e3a-91bd-b197ed13f78e,We went Frank Pepe pizza shop three weeks ago.,chain is quite famous Connecticut.,chain recently opened Boston.,We went early beat crowd.,We walked 5 growling dogs park town.,We had great pizza Frank Pepe pizza shop.,2
dfdf2b81-86fa-48f0-8a47-488ccf3e086b,Bernice always wanted travel Africa.,Bernice decided she would take trip birthday next year.,Bernice started look price airline tickets trip.,"addition , Bernice looked up price hotels as well.",Bernice went Europe birthday.,Bernice decided get airplane ticket and reserve room.,2
de06c035-4c96-4ed0-89c2-3ce71e99e9d1,Jim made spinach cookies.,He sold them five dollars each.,one bought any.,"However , last minute man wanted twenty.",He was surprised but thankful.,Jim thought he was crazy and left.,1
f547c9a1-be95-439d-922d-1417d7f6b818,Randy friend gave him directions house.,He was supposed take right white house.,Randy continued get lost.,He backtracked continuously he finally found it.,Randy told friend how relieved he was he found it.,Randy saw house but kept on driving and did n't come back.,1
195a43c7-d43e-48e4-845b-fd6c75609df2,I decided go bike ride brother.,We both headed out morning.,We were having lot fun.,"Suddenly , he hit rock and broke wheel!",Watching brother crash was fun.,I felt very badly brother.,2
a11cf506-7d19-4ab9-b0ac-a0fd85a9bd38,Anna went salon.,She was getting nails done first time.,"She was nervous , but tech was friendly.",He did nails quickly and expertly.,Anna felt very fashionable when she left salon.,Anna really liked new hairstyle.,1
b8c30925-f572-4ac3-b865-1cba592b6f0c,David and Sarah were friends childhood.,"When they went college , each moved different town.",Sarah received unexpected call David Friday.,They had dinner and talked lives.,Sarah was glad they were able catch up.,Sarah and david went go get dinner right that.,1
0a5489f1-beea-4ad6-a6d5-380ba2abd184,AJ and mom were grocery store.,Aj was looking cereal box and when he looked up mom was gone.,He immediately started feel panic.,Then mom stepped out display soup.,AJ then began feel sad.,AJ let out sigh relief.,2
fe3caede-4b19-410a-b08f-84d71b18e9f4,Joe went junkyard find treasures.,He dug stack old clothes.,bottom was vintage shirt rock band it.,Joe put shirt on try it out.,Joe was happy shirt fit.,Joe hated rock music afterwards.,1
e689960d-0515-424b-aac3-5d7160ac2577,Priya decided try new restaurant.,She drove new cafe that opened.,Priya sat booth.,She ordered mimosa and breakfast burrito.,Priya thought food was delicious.,Priya decided not eat and left.,1
57d5152a-77db-4156-8330-166edb36b0a2,Karen was assigned roommate first year college.,"One day , roommate asked her go nearby city concert.",Karen agreed happily.,show was absolutely exhilarating.,Karen hated roommate.,Karen became good friends roommate.,2
726a0fc9-8c6f-451e-838b-c48140817dfc,We took family vacation beach last year.,I spent lot time reading mom beach.,"One day reading , I got stung horrible beach wasp.","arm swelled and was painful , I almost had go hospital.",Eventually I healed.,I found I loved being swollen.,1
28f02d77-17f2-4ae0-bac9-3d6b48603662,John watch had been broken time.,He had n't gotten together money fix it.,wife decided take it get fixed and pay it.,She gave it him when he came home work.,John was very upset wife.,John was very excited.,2
696b9d6a-40a4-434d-8a01-aec20c4400a3,Donald was kind of class clown.,He wanted be class president.,So he figured he acted idiot people would vote him.,He would get up and just yell and be foolish.,Don hated elections.,Donald hoped foolishness won him election.,2
16eeb330-b579-4a0f-a1e6-0b7aad454c54,Eddie and Angela had n't been talking other long time.,They lived house together strangers.,"Finally , they sat down and agreed , it was time divorce.",Eddie went courthouse and filed paperwork.,They were divorced few months later.,They fell back love and stayed together forever.,1
ed614284-2364-4b9c-bc02-5e0aad3d8968,Rachel adopted cat ten Years ago.,"Suddenly , cat was acting more lethargic and losing weight.","Concerned , Rachel took cat vet.",vet told Rachel cat had developed cancer.,Rachel was excited hear news.,vet treated cat cancer best they could.,2
87678fdf-ad4e-4ff0-93d0-039fa451b49b,Jim is new driver and has never been pulled over before.,Yesterday he was pulled over speeding.,officer explained him why he was being given ticket.,Jim will have work overtime pay ticket.,Jim is very upset.,Jim was happy see officer.,1
33882739-51ca-446f-8bd0-2bbf7cfcba37,I love avocados.,I ate sandwich covered them.,"I ate it , mouth was itchy and tingly.",I talked doctor it later.,"He said I was paranoid , and charged me 100.",It turned out I was allergic avocados.,2
3ef66340-b2fd-4c12-bc1c-b28730b571a1,David was author that had trouble finding inspiration work.,One day he had dream him being post apocalyptic world.,He thought this was destiny and began write thoughts.,Eventually he had hundreds pages written.,David then uploaded new video.,David then had manuscript published.,2
26b26a0d-d7c5-4c50-bb94-bd236cd6b46f,Boris was addicted video games.,mother was concerned.,She called psychologist get help.,psychologist tried convince Boris stop addiction.,Boris realized he was wasting life.,Boris decided wear dress.,1
0c0d57aa-92eb-4bb3-8c65-6ce4d89e10a3,police officer came down flu today.,He was unable go work he could barely get bed.,wife spent time taking care him and making sure he was okay.,He made sure drink enough and eat enough.,police officer had give up badge and gun.,police officer eventually got better.,2
78eea25f-f831-409d-841a-1a3467f833b5,Jennifer felt stomach grumble.,She thought last time she ate and realized it was long ago.,She got up couch and went kitchen.,"cooking big meal and eating it , she felt good again.",Jennifer was not hungry anymore.,Jennifer wanted more food.,1
1ad020f7-a18a-45f9-a112-b9ca83afcad2,friend nathan and family went lake one summer.,One day Nathan dad left and did n't leave lighter mom.,mom was very upset and made him walk store barefoot.,Poor Nathan had walk gravel road bring mom matches.,"When Nathan returned , he felt very happy exercise.","When Nathan returned , mom apologized being so mean.",2
e829b3e7-8fec-4a34-a150-96381f7f0073,Jeremiah is looking part time job that can help him earn money.,sandwich shop employs him give out flyers sandwiches.,"Jeremiah loves job first , he likes meeting new people.",Eventually he finds it tiresome be outside so much.,Jeremiah continues work outside.,Jeremiah reconsiders career paths.,2
127daf23-f8a3-45af-94c4-f94e72710727,Two young women decided go ten mile run AFB.,"Five miles run , they spotted lone grey wolf blue eyes.","They tried scare it away , but it kept moving them.",two women clambered up tree and waited other people came.,people chased wolf away and two women were fine.,two women fell off cliff.,1
31dd2600-d4c3-4f15-a336-cd0c32237d06,Gary was brave child.,One day he decided climb fence backyard.,parents looked all over him.,They found him sitting swing park.,Gary parents were relieved find him.,Gary parents were disappointed find him.,1
a9982ad1-a78e-4ab3-b9d5-4f3679d3e043,Timmy was caught unpaid parking tickets.,He did n't have enough money pay them.,Instead he had be arrested and jailed two days.,He lost jobs missing work.,Timmy was promoted working so much all time.,"Timmy then had find job,",2
a62e9212-e75b-4078-ae68-f56a1164dc70,"When I was younger , I went summer camp.",We had lot fun playing games counselors.,favorite thing do was play cards.,camp counselors knew so many different card games.,time minister was very useful.,favorite card game was poker.,2
67cf2fb0-431a-404d-9c9f-826dd2d3472b,Amber had lot things do Sunday.,She made list all places she needed go.,She hurried get ready.,She was worried she would not have enough time.,Amber enjoyed relaxing two hour brunch.,Amber was so hurried she left list home.,2
dba303f0-ede3-4834-aad4-767eadafa744,Eve needed new couch parlor.,But she could not afford buy one!,Then she went secondhand store and found great one.,She had it delivered and set up living room.,She bought new couch replace it.,Eve thought couch was very comfortable.,2
7c183d9b-d1fd-414f-8c95-c17132422732,Jason was terrified spiders.,He went therapist and discussed fear.,therapist said he should confront fear overcome it.,Jason homework was look spider basement.,He found very large spider there.,Jason took hot shower.,1
5b6f539e-eb73-4ca4-b359-a1f85e96effd,Linda began have problems coworker job.,coworker had started bossing her around work.,coworker even talked her back.,Linda went boss issue and boss mediated them.,boss fired her next day.,Linda and coworker ended up being best friends.,2
cb1dd642-75fd-43ae-bb80-d019a2a9cb8e,Sara wanted kids have great Christmas.,She saved year and started shopping November.,She shopped deals and spent savings.,She spent two days wrapping dozens presents.,All presents were wrapped and stored holidays.,She returned all presents cheaper ones.,1
0f797de2-3d82-46d1-a370-c278a36ad785,Megan has been struggling drug habit years.,She hit rock bottom when she lost family and kids.,distant family decided stage intervention.,"event , she got rehab facility.",She was able get off drugs time.,"When she arrived , she did drugs day.",1
6623b60e-9200-4019-9a95-521adc03524d,Tyler has been unemployed Years.,He has spent last few months diligently applying work.,"However , all applications are rejected.",rejections contribute Tyler feelings desperation.,He is thrilled new responsibilities work.,He realizes he might have apply public assistance.,2
4624ac21-eb88-4b07-a052-cc6d3466736c,Miranda is married Bob.,Bob does n't like Miranda works so much.,Miranda tells Bob she enjoys career and wo n't quit.,Bob gives Miranda ultimatum.,Miranda quits job.,Miranda decides take on second job.,1
0819f0b4-3760-453b-b6d2-d61e7b36decd,cousin had terrible experience babysitter.,They had hidden camera.,They found video her shaking baby violently.,baby is having major problems.,They gave baby sitter good review.,They reported babysitter police.,2
57f0ad88-0dad-4cce-95da-30175ff0ba40,Bobby was having birthday party.,friends bought him huge cake.,woman jumped cake.,Bobby was surprised and amused.,Bobby had good party.,Bobby was mad friends.,1
a5ac20db-ed05-49d7-8960-2035a9dce14d,It was last day vacation.,We were eating lunch patio hotel.,We laughed and smiled it was great vacation.,Then we packed bags and drove airport.,We want revisit someday.,We all vowed never go back again.,1
3f191c72-305c-487d-8da0-7335fedc270f,Mother asked children help fold laundry.,children took clean clothes living room.,They dumped clothes floor.,They folded clothes neatly piles.,clothes were filthy and unfolded.,They then put clothes up neatly.,2
dacd5655-337c-4c89-a87f-edd54067cfb9,Timmy loves watching cartoons.,parents do n't let him watch he does chores.,Today chore is clean room.,Timmy room is mess.,Timmy went mess hall breakfast.,Timmy spent day cleaning he could watch tv.,2
85cc4bad-5cd3-494f-be90-e3c16e512cab,daughter had baby shower Boston home.,She invited friends and family area.,old college roommate lives Hawaii.,She decided surprise daughter flying 4800 miles.,daughter was disappointed.,daughter was excited.,2
c94d227a-4fde-4a0f-acc7-359406c16a52,Craig used always go play darts.,He would go local bar and try hustle.,He would play bad first.,Then he would get them make bet drink or money.,Craig did it one too many times and patrons beat him up.,Craig won poker match much trouble.,1
7e12768d-0e37-4940-9dcf-186ba3916660,Pam house was where party was.,Everyone bought gifts.,Pam bought cake.,Everyone danced and had fun!,Pam was lousy hostess.,Pam was good hostess.,2
d10f40c6-f5f0-4273-82e0-90aa22520588,Ellen always hated school.,kids made fun her day.,They called her smelly Elly.,She decided start taking baths.,Ellen liked negative attention.,Ellen was appalled.,2
322525fb-6970-4c56-89ae-375664d8e320,Jim got first credit card college.,He did n't have job so he bought everything card.,"he graduated he amounted 10,000 debt.",Jim realized he was foolish spend so much money.,Jim decided devise plan repayment.,Jim decided open credit card.,1
9bc05c17-a739-462c-970c-f5279779f3a5,Tim was entering baking contest.,He decided make famous donuts.,He made big batch and entered them contest.,judges thought they were delicious.,judges vomited taste donuts.,Tim won baking contest.,2
9843660b-4a86-4cae-b6d7-03d73b88426e,two year old son refused wear training pants.,He always begged wear diaper.,"One day , frustration , I let him remain naked.",He went potty and used it when I was n't looking.,Now I do n't try make him wear training pants.,Child protection services removed him home.,1
e721d415-d8b9-479f-a476-bc3f3a239140,Holly was glad be safely house storm raged.,She was watching storm she heard loud crack.,Lightning had hit tree house.,She stared she watched it fall.,She went outside fly kite.,She was relieved it did n't hit anything.,2
9409bd0a-fbdd-4450-8b41-5aac05fd5c36,Jill saw infomercial unbreakable glass cups.,She was amazed and ordered them.,"When Jill received cups , she wanted test them.",She dropped one hardwood floor.,It broke and Jill felt dumb believing hype.,"cloth ripped two , much Jill surprise.",1
00d73c9e-6441-4b23-ad78-f33490a6a1ec,Addie was working mall Hollister when strange man came in.,"she knew it , Addie looked her and saw stolen clothes.",Addie got scared and tried chase man out.,Luckily guards came and arrested him.,Addie was put jail crime.,Addie was relieved and took deep breaths calm herself.,2
a2685475-307b-49a3-85f8-07b32c63e062,Sean was going job interview.,He arrived business and asked manager.,manager took him back and interviewed him.,"Then , manager showed him around and explained job.",manager hoped Sean would perform badly.,manager wanted Sean understand everything.,2
1bfde41c-01ea-4af8-a5c3-706b8af6cec6,Fred made bet Sam who could lose more weight month.,"Fred really wanted win bet , which was 100.","Fred worked out daily , avoided fast food , and skipped dinner.",end month Fred was feeling confident he would win.,Fred cancelled bet end month.,"Fred ended up winning bet , and 100.",2
749b0981-388d-4deb-83d4-b4bc35b4a168,John went skydiving first time.,He went instructor plane air.,He screamed when they jumped.,John was terribly afraid heights and passed out.,John loved second skydiving trip.,"When he woke up , he had already landed.",2
7d9b0578-4621-460a-9d67-9705079b0a1c,Gina and family were leaving park.,They had been there afternoon.,Now they were going aunt house.,Gina begged be dropped offgrandma,Gina hated grandma.,Gina loved grandma.,2
71db6e1d-bcb4-4849-bded-f252a32c927c,Kaya needed buy new dress upcoming Spring Formal.,She went mall several friends.,girls all had good time visiting shops and trying dresses.,Kaya found dress that she loved that was nice coral color.,She could n't resist so she bought antique vase.,It was kind of expensive but she decided it was worth it.,2
41548819-7537-4bbe-8c20-ba78feb5fe0d,Tyler wanted have balloon party tons balloons.,He and friends and parents blew up balloons.,He and friends played balloons and had lot fun.,They got tired and watched movie and had dinner.,It had been very fun day.,Tyler felt parents never let him do anything.,1
e4443872-3ac9-465e-9d99-88ab9720da81,Jimmy went skateboarding afternoon.,It was third time week.,He 's getting good it and really likes it.,He fell once but has n't given up.,"all practice week , Jimmy has learned new trick.",Jimmy has decided give away skateboard.,1
aa03cc32-e85b-4710-8120-aeaba4af65b0,Maxine usually hates shave legs.,She does n't like feeling using razor.,One night Maxine has big date and decides wear dress.,She shaves legs occasion.,Maxine does n't want go date.,Maxine gets laser removal next time.,2
bcde1c24-5e48-4ba9-a8b5-362db0db0129,Ryan loved customize bike.,He decided add LED lights bike frame and wheels.,He ordered parts eBay.,"When they arrived , he assembled them.",Ryan loved how bike looked.,Ryan decided not ride bike anymore.,1
107793ec-8721-4897-b0de-17db3578fc10,One day I wanted cook nice dinner family.,I decided cook spaghetti.,I boiled noodles and put sauce pot stove.,I turned stove too high.,sauce burned and stuck bottom pan.,It took forever sauce heat up.,1
0f36f4a6-da40-4c61-a4cc-db237df8f1b6,Nick was challenged volleyball match.,girlfriend bet him five dollars she could beat him.,Nick did not intend let her win!,He played hard and mercilessly.,Nick beat girlfriend and she gave him five dollars.,Nick gave up he did n't care girlfriend won.,1
ae91c584-b9d3-4a0e-b166-6928531d1bed,friends and I made Counter Strike team.,We practiced lot upcoming tournament.,We got tournament and went over strategies.,We played tough 6 games.,We felt pleased performance.,We felt we had performed badly.,1
bee259be-fcd9-4043-9047-0e199aaa8214,Michelle found fat tuxedo cat house.,She put up posters all neighborhood.,"three weeks , one had called Michelle cat.",Michelle decided keep cat herself.,Michelle gave cat neighbor.,"Michelle named cat , ' Socks .'",2
45896107-bb21-48b8-845d-619d8c19bc34,Neil was visiting Ireland.,train had just arrived Derry.,"he disembarked , he caught breath.",It was as gorgeous fairy tale!,Neil decided never return Ireland.,Neil enjoyed Ireland.,2
f36a34dc-1b78-4af1-9e48-5ec9d369feb5,Mary went park.,She wanted show off new dress.,bird flew Mary and pooped.,dress became covered bird poop.,Mary was happy be showing off dress.,Mary was upset dress was ruined.,2
49c51e74-be6e-45b9-a223-4c0835ad76c1,Scott knew someone was stealing packages porch.,He set up surveillance camera door.,He felt he would least have video thief.,"One day , Scott saw footage perpetrator.",Scott gave him high five.,Scott apprehended perpetrator.,2
2742baab-3956-415e-a1f2-024adc90cae6,Last Tuesday I took first spin class gym.,It was hardest exercise class I ever took.,I worked it hour and legs went numb.,When I got home legs started hurt and I could n't walk.,I felt I could run marathon.,I went bed and then rested morning.,2
f8594fc8-df33-49d7-a5a9-045765ca8eda,Colin was invited bar friends.,He loves beer but thinks it 's too expensive bars.,He decided go anyway.,He gave himself budget.,Colin stuck budget and only drank 2 beers.,Colin drinks beer bar night.,1
353ca466-413a-428c-8b62-8650edc88363,Sally forgot breakfast she left house yesterday.,She debated go back and get something eat.,She decided pick up meal way work.,She realized she had money wallet buy breakfast.,Sally was forced go hungry.,Sally then bought large breakfast.,1
ab1265ac-d06e-4bad-ba0e-0219d63d3357,Jordan was planning moving Mexico.,Jordan decided he should learn Spanish.,He ended up purchasing language learning program Amazon.,Everyday he worked program at least 2 hours.,Jordan knew conversational Spanish time he moved.,Jordan did n't like fish tacos at all.,1
40113e9b-360c-4d2d-8969-10cab5ce76f4,Ann and Tim loved astrology.,"fact , the met they were astronomy class college!","When they married and became pregnant , they had dilemma.",They could n't decide meaningful name baby daughter.,Tim and Anna decided they would ask veterinarian.,"lot searching , Tim and Anna found perfect name.",2
c71454d3-16c6-4852-bb0e-1149fd2b0e52,Fred is brand new exercising and just joined gym.,He was amazing how expensive personal trainer was.,He wanted get shape but could n't afford rates.,He found personal trainer routines online free.,He never worked out again.,He was happy decision.,2
d3615153-cfb9-4583-bd93-e1814c250a1c,It was second match volleyball season.,Amy was hopeful she would get chance play.,first game they were ahead.,coach put her game.,She finally got chance play match.,She asked coach find someone else.,1
1be803ad-225f-4b93-a5ce-3d96deedc495,Ellen had had four miscarriages row.,husband Tim despaired ever becoming dad.,Then doctor called him work.,He told him there was great news Ellen.,doctor told Tim Emily went run.,doctor told Tim Ellen was finally pregnant.,2
b64b9a40-4e69-4381-ae49-035edf71a232,David asked mother he could pour own drink.,"mother agreed , but warned him be careful.",David accidentally knocked over glass which shattered everywhere.,mother cheerfully forgave David.,David ate cheeseburger.,David promised be more careful future.,2
e5ce589a-86a4-4f4e-9a51-87220abdf821,Neil wanted play hockey.,He borrowed gear friends.,Then he geared up and headed rink.,He practiced days.,Neil played baseball.,Neil played competition.,2
4803b3ac-1aa0-483b-a79c-2918ff401adf,I kept baby blanket good shape.,I had it 30 Years.,I moved away home.,baby blanket disappeared.,I still miss baby blanket.,I sleep baby blanket night.,1
e2f74079-bcd6-485a-80c6-24be4fca4ae9,friend Cam was Amazon bookseller.,"He had 4,000 books stored garage.",He made enough money live simply.,house caught fire one day and he lost collection.,Cam has since decided insure belongings.,"Afterwards , Cam was able sell more books he ever had.",1
c473c07a-630f-48e2-b6dd-ebb34d815fc2,Rosie teacher birthday was coming up 5 days.,Rosie did not have money buy present.,She asked grandmother teach her how draw sunflowers.,Rosie drew big sunflower and painted it watercolor.,Rosie teacher loved gift.,Rosie teacher gave detention.,1
a0af24f7-ece4-41c0-8411-9c36d5196134,Jon fridge was broken.,He called service company repair it.,They told him they could come next day noon.,"Jon met them door when they arrived , and let them in.",company fixed television.,company fixed fridge.,2
8ae17467-e396-4f89-9d2a-eeade4539358,man ordered antique clock eBay.,He received box containing six blown fuses and jar pickles.,He filed complaint eBay.,EBay refused process refund.,man is furious.,Ebay is very reputable company.,1
8e61c1c5-582f-4379-b332-dcb96faf3bf9,Tom and Dick loved trucks.,They would go out desert week.,They would kick up dirt and play around.,Then Tom truck broke down.,"It cost lot money , but he got it repaired.",Tom knew it would be expensive repair boat.,1
a28a894f-ea54-438a-93c5-cae7e4564ec4,Harry went theme park family.,dad and brother rode big roller coaster him.,He then rode smaller rides mom.,family ate restaurant park.,Harry did n't like theme parks.,Harry had great time park.,2
