InputStoryid,InputSentence4,RandomFifthSentenceQuiz1,RandomFifthSentenceQuiz2,AnswerRightEnding
696b1a71-b684-45ec-8435-7b48274ee411,He hurt his leg and had to go to the hospital.,Larry loved going to the hospital.,Larry became careful.,2
1d14ed7d-5a05-476b-bfab-3e3568a0dd6b,We seem to have some things in common.,Soon we were boyfriend and girlfriend and thinking of marriage.,We broke up right away.,1
9f32f9ef-0b7b-461b-953f-3d7da39bac87,He tried crushing them with a hammer.,Sammy was not that into coffee.,It worked for Sammy.,2
3972aeda-e5f8-4776-abbb-8566bf38930a,Before he knew it his car was facing oncoming traffic.,Jared swerved quickly and managed to avoid a collision.,Jared decided to accelerate.,1
a5559b28-d55c-4973-b2ea-18768a60ed06,On the way home they chatted about things.,Bobby asked to be taken to a restaurant.,Bobby found the time passed quickly.,2
411b9523-5254-41ff-b740-e039d0423201,"He added ham, bacon, and carrots to make thick pea soup.",Joe thought about working in the garden as he ate the yummy soup.,Joe dumped the pot outside because he hated soup.,1
36b638c3-f2d1-44dc-bab1-5bf2a9d7fdff,"She found him, but he was married with kids.","Aliza was sad, but she never contacted him again.",He fell in love with Aliza and they were married.,1
80b6447f-4c37-4194-9862-3785e5075463,"Finally, they shaped it into a cane and let it cool.",Lina now knew that candy canes were boring.,Lina felt a new appreciation for candy canes.,2
dd3506fe-31ce-4bbb-9000-02c222da3466,I grabbed the ball and went next door to return it.,They were very friendly.,I threw the kickball through their closed window.,1
ad42188e-383b-4c7d-9cd9-906725b7ce12,Then she got up and went out to party.,"By Sunday night, Bev was exhausted again.","Bev got the mail and fed the fish, just like she did every day.",1
74b4e567-5d81-42b7-8434-aabf5e9c0027,On their first anniversary Bob gave Sue cooking lessons.,She never cooked again.,She became a better cook.,2
f8ff777f-de4d-4e3a-91bd-b197ed13f78e,We went early to beat the crowd.,We walked 5 growling dogs at the park across town.,We had a great pizza at Frank Pepe's pizza shop.,2
dfdf2b81-86fa-48f0-8a47-488ccf3e086b,"In addition, Bernice looked up the price of hotels as well.",Bernice went to Europe for her birthday.,Bernice decided to get an airplane ticket and reserve a room.,2
de06c035-4c96-4ed0-89c2-3ce71e99e9d1,"However, at the last minute a man wanted twenty.",He was surprised but thankful.,Jim thought he was crazy and left.,1
f547c9a1-be95-439d-922d-1417d7f6b818,He backtracked continuously until he finally found it.,Randy told his friend how relieved he was he found it.,Randy saw the house but kept on driving and didn't come back.,1
195a43c7-d43e-48e4-845b-fd6c75609df2,"Suddenly, he hit a rock and broke his wheel!",Watching my brother crash was fun.,I felt very badly for my brother.,2
a11cf506-7d19-4ab9-b0ac-a0fd85a9bd38,He did her nails quickly and expertly.,Anna felt very fashionable when she left the salon.,Anna really liked her new hairstyle.,1
b8c30925-f572-4ac3-b865-1cba592b6f0c,They had dinner and talked about their lives.,Sarah was glad they were able to catch up.,Sarah and david went to go get dinner right after that.,1
0a5489f1-beea-4ad6-a6d5-380ba2abd184,Then his mom stepped out from behind a display of soup.,AJ then began to feel sad.,AJ let out a sigh of relief.,2
fe3caede-4b19-410a-b08f-84d71b18e9f4,Joe put the shirt on to try it out.,Joe was happy the shirt fit.,Joe hated rock music afterwards.,1
e689960d-0515-424b-aac3-5d7160ac2577,She ordered a mimosa and a breakfast burrito.,Priya thought her food was delicious.,Priya decided not to eat and left.,1
57d5152a-77db-4156-8330-166edb36b0a2,The show was absolutely exhilarating.,Karen hated her roommate.,Karen became good friends with her roommate.,2
726a0fc9-8c6f-451e-838b-c48140817dfc,"My arm swelled and was painful, I almost had to go to the hospital.",Eventually I healed.,I found I loved being swollen.,1
28f02d77-17f2-4ae0-bac9-3d6b48603662,She gave it to him when he came home for work.,John was very upset with his wife.,John was very excited.,2
696b9d6a-40a4-434d-8a01-aec20c4400a3,He would get up and just yell and be foolish.,Don hated elections.,Donald hoped this foolishness won him the election.,2
16eeb330-b579-4a0f-a1e6-0b7aad454c54,Eddie went to the courthouse and filed the paperwork.,They were divorced a few months later.,They fell back in love and stayed together forever.,1
ed614284-2364-4b9c-bc02-5e0aad3d8968,The vet told Rachel that her cat had developed cancer.,Rachel was excited to hear the news.,The vet treated her cat's cancer the best they could.,2
87678fdf-ad4e-4ff0-93d0-039fa451b49b,Jim will have to work overtime to pay for the ticket.,Jim is very upset.,Jim was happy to see the officer.,1
33882739-51ca-446f-8bd0-2bbf7cfcba37,I talked to my doctor about it later.,"He said I was paranoid, and charged me $100.",It turned out I was allergic to avocados.,2
3ef66340-b2fd-4c12-bc1c-b28730b571a1,Eventually he had hundreds of pages written.,David then uploaded his new video.,David then had his manuscript published.,2
26b26a0d-d7c5-4c50-bb94-bd236cd6b46f,The psychologist tried to convince Boris to stop his addiction.,Boris realized he was wasting his life.,Boris decided to wear the dress.,1
0c0d57aa-92eb-4bb3-8c65-6ce4d89e10a3,He made sure to drink enough and eat enough.,The police officer had to give up his badge and gun.,The police officer eventually got better.,2
78eea25f-f831-409d-841a-1a3467f833b5,"After cooking a big meal and eating it, she felt good again.",Jennifer was not hungry anymore.,Jennifer wanted more food.,1
1ad020f7-a18a-45f9-a112-b9ca83afcad2,Poor Nathan had to walk down a gravel road to bring his mom matches.,"When Nathan returned, he felt very happy for the exercise.","When Nathan returned, his mom apologized for being so mean.",2
e829b3e7-8fec-4a34-a150-96381f7f0073,Eventually he finds it tiresome to be outside so much.,Jeremiah continues to work outside.,Jeremiah reconsiders career paths.,2
127daf23-f8a3-45af-94c4-f94e72710727,The two women clambered up a tree and waited until other people came.,The people chased the wolf away and the two women were fine.,The two women fell off a cliff.,1
31dd2600-d4c3-4f15-a336-cd0c32237d06,They found him sitting on the swing at the park.,Gary's parents were relieved to find him.,Gary's parents were disappointed to find him.,1
a9982ad1-a78e-4ab3-b9d5-4f3679d3e043,He lost his jobs for missing work.,Timmy was promoted for working so much all the time.,"Timmy then had to find another job,",2
a62e9212-e75b-4078-ae68-f56a1164dc70,The camp counselors knew so many different card games.,My time with the minister was very useful.,My favorite card game was poker.,2
67cf2fb0-431a-404d-9c9f-826dd2d3472b,She was worried that she would not have enough time.,Amber enjoyed a relaxing two hour brunch.,Amber was so hurried she left the list at home.,2
dba303f0-ede3-4834-aad4-767eadafa744,She had it delivered and set up in her living room.,She bought a new couch to replace it.,Eve thought the couch was very comfortable.,2
7c183d9b-d1fd-414f-8c95-c17132422732,Jason's homework was to look for a spider in his basement.,He found a very large spider there.,Jason took a hot shower.,1
5b6f539e-eb73-4ca4-b359-a1f85e96effd,Linda went to her boss with the issue and the boss mediated them.,Her boss fired her the next day.,Linda and the coworker ended up being best friends.,2
cb1dd642-75fd-43ae-bb80-d019a2a9cb8e,She spent two days wrapping dozens of presents.,All of the presents were wrapped and stored for the holidays.,She returned all of the presents for cheaper ones.,1
0f797de2-3d82-46d1-a370-c278a36ad785,"After the event, she got into a rehab facility.",She was able to get off drugs after some time.,"When she arrived, she did drugs all day.",1
6623b60e-9200-4019-9a95-521adc03524d,The rejections contribute to Tyler's feelings of desperation.,He is thrilled about his new responsibilities at work.,He realizes he might have to apply for public assistance.,2
4624ac21-eb88-4b07-a052-cc6d3466736c,Bob gives Miranda an ultimatum.,Miranda quits her job.,Miranda decides to take on a second job.,1
0819f0b4-3760-453b-b6d2-d61e7b36decd,The baby is having major problems.,They gave the baby sitter a good review.,They reported the babysitter to the police.,2
57f0ad88-0dad-4cce-95da-30175ff0ba40,Bobby was surprised and amused.,Bobby had a good party.,Bobby was mad at his friends.,1
a5ac20db-ed05-49d7-8960-2035a9dce14d,Then we packed our bags and drove to the airport.,We want to revisit someday.,We all vowed to never go back again.,1
3f191c72-305c-487d-8da0-7335fedc270f,They folded the clothes neatly into piles.,The clothes were filthy and unfolded.,They then put their clothes up neatly.,2
dacd5655-337c-4c89-a87f-edd54067cfb9,Timmy's room is a mess.,Timmy went to the mess hall for breakfast.,Timmy spent all day cleaning so he could watch tv.,2
85cc4bad-5cd3-494f-be90-e3c16e512cab,She decided to surprise my daughter by flying 4800 miles.,My daughter was disappointed.,My daughter was excited.,2
c94d227a-4fde-4a0f-acc7-359406c16a52,Then he would get them to make a bet for a drink or money.,Craig did it one too many times and the patrons beat him up.,Craig won the poker match without much trouble.,1
7e12768d-0e37-4940-9dcf-186ba3916660,Everyone danced and had fun!,Pam was a lousy hostess.,Pam was a good hostess.,2
d10f40c6-f5f0-4273-82e0-90aa22520588,She decided to start taking baths.,Ellen liked the negative attention.,Ellen was appalled.,2
322525fb-6970-4c56-89ae-375664d8e320,Jim realized that he was foolish to spend so much money.,Jim decided to devise a plan for repayment.,Jim decided to open another credit card.,1
9bc05c17-a739-462c-970c-f5279779f3a5,The judges thought they were delicious.,The judges vomited from the taste of the donuts.,Tim won the baking contest.,2
9843660b-4a86-4cae-b6d7-03d73b88426e,He went to the potty and used it when I wasn't looking.,Now I don't try to make him wear training pants.,Child protection services removed him from the home.,1
e721d415-d8b9-479f-a476-bc3f3a239140,She stared as she watched it fall.,She went outside to fly a kite.,She was relieved that it didn't hit anything.,2
9409bd0a-fbdd-4450-8b41-5aac05fd5c36,She dropped one on her hardwood floor.,It broke and Jill felt dumb for believing the hype.,"The cloth ripped in two, much to Jill's surprise.",1
00d73c9e-6441-4b23-ad78-f33490a6a1ec,Luckily guards came and arrested him.,Addie was put in jail for her crime.,Addie was relieved and took deep breaths to calm herself.,2
a2685475-307b-49a3-85f8-07b32c63e062,"Then, the manager showed him around and explained the job.",The manager hoped Sean would perform badly.,The manager wanted Sean to understand everything.,2
1bfde41c-01ea-4af8-a5c3-706b8af6cec6,At the end of the month Fred was feeling confident he would win.,Fred cancelled the bet at the end of the month.,"Fred ended up winning the bet, and the $100.",2
749b0981-388d-4deb-83d4-b4bc35b4a168,John was terribly afraid of heights and passed out.,John loved every second of the skydiving trip.,"When he woke up, he had already landed.",2
7d9b0578-4621-460a-9d67-9705079b0a1c,Gina begged to be dropped off at her grandma's,Gina hated her grandma.,Gina loved her grandma.,2
71db6e1d-bcb4-4849-bded-f252a32c927c,Kaya found a dress that she loved that was a nice coral color.,She couldn't resist so she bought the antique vase.,It was kind of expensive but she decided it was worth it.,2
41548819-7537-4bbe-8c20-ba78feb5fe0d,They got tired and watched a movie and had dinner.,It had been a very fun day.,Tyler felt like his parents never let him do anything.,1
e4443872-3ac9-465e-9d99-88ab9720da81,He fell once but hasn't given up.,"After all his practice this week, Jimmy has learned a new trick.",Jimmy has decided to give away his skateboard.,1
aa03cc32-e85b-4710-8120-aeaba4af65b0,She shaves her legs for the occasion.,Maxine doesn't want to go on the date.,Maxine gets laser removal next time.,2
bcde1c24-5e48-4ba9-a8b5-362db0db0129,"When they arrived, he assembled them.",Ryan loved how his bike looked.,Ryan decided not to ride his bike anymore.,1
107793ec-8721-4897-b0de-17db3578fc10,I turned the stove on too high.,The sauce burned and stuck to the bottom of the pan.,It took forever for the sauce to heat up.,1
0f36f4a6-da40-4c61-a4cc-db237df8f1b6,He played hard and mercilessly.,Nick beat his girlfriend and she gave him the five dollars.,Nick gave up because he didn't care if his girlfriend won.,1
ae91c584-b9d3-4a0e-b166-6928531d1bed,We played a tough 6 games.,We felt pleased with our performance.,We felt we had performed badly.,1
bee259be-fcd9-4043-9047-0e199aaa8214,Michelle decided to keep the cat for herself.,Michelle gave the cat to her neighbor.,"Michelle named the cat, ""Socks.""",2
45896107-bb21-48b8-845d-619d8c19bc34,It was as gorgeous as a fairy tale!,Neil decided never to return to Ireland.,Neil enjoyed Ireland.,2
f36a34dc-1b78-4af1-9e48-5ec9d369feb5,Her dress became covered in bird poop.,Mary was happy to be showing off her dress.,Mary was upset that her dress was ruined.,2
49c51e74-be6e-45b9-a223-4c0835ad76c1,"One day, Scott saw footage of the perpetrator.",Scott gave him a high five.,Scott apprehended the perpetrator.,2
2742baab-3956-415e-a1f2-024adc90cae6,When I got home my legs started to hurt and I couldn't walk.,I felt like I could run a marathon.,I went to bed and then rested until morning.,2
f8594fc8-df33-49d7-a5a9-045765ca8eda,He gave himself a budget.,Colin stuck to his budget and only drank 2 beers.,Colin drinks beer at the bar all night.,1
353ca466-413a-428c-8b62-8650edc88363,She realized that she had no money in her wallet to buy breakfast.,Sally was forced to go hungry.,Sally then bought a large breakfast.,1
ab1265ac-d06e-4bad-ba0e-0219d63d3357,Everyday he worked on the program for at least 2 hours.,Jordan knew some conversational Spanish by the time he moved.,Jordan didn't like fish tacos at all.,1
40113e9b-360c-4d2d-8969-10cab5ce76f4,They couldn't decide on a meaningful name for their baby daughter.,Tim and Anna decided they would ask their veterinarian.,"After a lot of searching, Tim and Anna found the perfect name.",2
c71454d3-16c6-4852-bb0e-1149fd2b0e52,He found personal trainer routines online for free.,He never worked out again.,He was happy with his decision.,2
d3615153-cfb9-4583-bd93-e1814c250a1c,Her coach put her in the game.,She finally got her chance to play in the match.,She asked the coach to find someone else.,1
1be803ad-225f-4b93-a5ce-3d96deedc495,He told him that there was great news about Ellen.,The doctor told Tim that Emily went for a run.,The doctor told Tim that Ellen was finally pregnant.,2
b64b9a40-4e69-4381-ae49-035edf71a232,His mother cheerfully forgave David.,David ate a cheeseburger.,David promised to be more careful in the future.,2
e5ce589a-86a4-4f4e-9a51-87220abdf821,He practiced for days.,Neil played baseball.,Neil played in the competition.,2
4803b3ac-1aa0-483b-a79c-2918ff401adf,My baby blanket disappeared.,I still miss my baby blanket.,I sleep with my baby blanket every night.,1
e2f74079-bcd6-485a-80c6-24be4fca4ae9,His house caught on fire one day and he lost his collection.,Cam has since decided to insure his belongings.,"Afterwards, Cam was able to sell more books than he ever had.",1
c473c07a-630f-48e2-b6dd-ebb34d815fc2,Rosie drew a big sunflower and painted it with watercolor.,Rosie's teacher loved the gift.,Rosie's teacher gave her detention.,1
a0af24f7-ece4-41c0-8411-9c36d5196134,"Jon met them at the door when they arrived, and let them in.",The company fixed his television.,The company fixed his fridge.,2
8ae17467-e396-4f89-9d2a-eeade4539358,EBay refused to process a refund.,The man is furious.,Ebay is a very reputable company.,1
8e61c1c5-582f-4379-b332-dcb96faf3bf9,Then Tom's truck broke down.,"It cost a lot of money, but he got it repaired.",Tom knew it would be expensive to repair his boat.,1
a28a894f-ea54-438a-93c5-cae7e4564ec4,The family ate at a restaurant at the park.,Harry didn't like theme parks.,Harry had a great time at the park.,2
932e37d4-1305-4e54-8fee-ba649e7c7206,I believed that I did the presentation correct and stood up for it.,My teacher suggested I pursue art school.,The teacher agreed to discuss it with me.,2
f935f831-38bc-4b00-83c6-3891a4dacefc,Only a handful of girls showed up to play.,Leah was very happy to hear the news.,The game was canceled.,2
345e1032-0c47-48e6-9968-e04baa479d06,After a month she checked her eyes out carefully.,She decided to buy more toothpaste.,She was happy to see her wrinkles were gone.,2
bb5695c6-6c1c-4de6-b56c-6b23077d3df5,"When Harry opened the package, he found that the camera was damaged.","Annoyed, he contacted the retailer to complain about the damage.",Harry spent the evening happily taking pictures.,1
6ab897f0-4f61-40f1-afa6-e9485e44316d,He applies successfully for the job at the butcher.,Jasper quits his job the next day.,Jasper enjoys cutting dead animals.,2
1a2bead1-a985-44e6-966c-44c4a77afe37,After the arrived we began eating and enjoying ourselves.,I couldn't wait for my friends to leave.,I loved throwing parties.,2
ed448375-accb-4425-b7ed-e5af03f0d477,Tom went on job interviews and talked to a lot of people.,He finally received a job offer.,Tom was sad about leaving his miserable job.,1
0a0efb23-8cb3-4481-9ff4-e5c9d47fb914,The scones were tasty and she was proud to hand them to her hostess.,They had a great tea party.,Linda's classmate wanted her to leave.,1
f747b29b-73ff-43c8-b06d-62f56ac0f67c,They went from store to store trying things on.,Ashley couldn't buy anything because she was broke.,They bought lots of clothes.,2
5488ad4e-968e-4113-b3f1-23a27e40e52a,Paul agreed.,Paul was furious with his mom.,Paul got a job.,2
0aa4d795-2af4-489d-84d2-a3476cfc9019,But they did not know that Harvey was a nationally ranked player.,"Harvey choked, and lost every match he played.",They all sat with their mouths open as Harvey beat them all.,2
666d1b41-7e20-41cc-b6a7-5bc3eb9ed7b7,"When I went to check out, I was ten dollars over!",I then realized that I was not good at math.,Then I knew that I was great at math!,1
08f3861d-5511-4f65-9611-0c67ec71561c,My parents searched multiple dealerships.,They bought another red car.,My parents bought matching mopeds.,1
05f5c44c-6d88-4c50-8c88-d9ad55fbaa8c,She was on the end and it was too far.,She acted like a brat and threw a tantrum.,Gina doesn't care about electronics.,1
e7be4ea9-4bb9-4141-90d5-351d6377c9fc,The door had slammed open.,I realized I needed noise to sleep.,I realized it had only been the wind.,2
8e5c1dce-bed9-4754-9565-89b1d10b1aec,Her mother refused to take her.,Gina and her mother went immediately.,Gina decided to walk instead.,2
9a37e0a5-a537-4af1-ab7d-c39c440ee8d6,But he persevered and practiced a lot.,He then went to sleep.,He now loves to go hunting.,2
0e499832-cc4e-459d-a066-de6e73aa77f9,He peeled off the game piece and couldn't believe it.,Jay thought Burger King was awesome.,He'd dug in the trash for nothing.,2
1b99f1e5-e8e4-4ae9-b05b-e5c8324e8768,"As a result, he had to find other work.",John was a troubled worker.,John was an outstanding worker.,1
9a6318d7-6a3e-4745-bba9-b3754190352a,"Kim, realizing the child was in great danger, lunged toward the cart.",KIm breathlessly saved the child.,Kim saved the cart but let the child go.,1
66c79a45-25be-4066-9d36-016637bd57c5,He thought it was cruelty to animals.,Kev was excited to try out his new gun.,Kev decided not to come hunting.,2
598c2da4-91cb-4adb-8d09-0de672cdebe8,The concert ticket was a gift for Emily for her birthday.,Emily decided she didn't want the concert ticket.,This was the best birthday gift Emily had ever had.,2
d46e5bd9-8a43-4670-b8c7-fe56f59cceae,She started to go to work frying donuts.,Lina hated donuts.,Lina loved her new job.,2
5183072a-7b29-4a2e-80bb-120f3fcd8bda,The bus ride home was long and boring.,I was invigorated when I got home.,I was tired when I got home.,2
70e3a2c2-6e8a-46cd-9948-2005e1e6bfac,They haughtily stomped off to make a forum of only themselves.,The new forum was theirs to rule.,They returned to the forum later because they liked it so much.,1
f2d60888-a0aa-4da4-b744-57ac10ae6dc2,"Once Ty was napping, Donna quietly clipped each nail.",Donna had a much easier time because Ty was asleep.,Donna wished I would wake up.,1
52255569-a048-4098-b40a-a9a96bbc754f,Her teacher agreed to allow her to go for an hour.,Gina was angry that she went to the library.,Gina felt more calm once she arrived in the library.,2
8585d876-38ad-4846-a5b1-3b8fbd3d8f72,The interview did not go well.,Vivienne soon received her visa in the mail.,Vivienne was not granted a visa.,2
a7dcd6a0-c9a3-4aa0-b2ed-3e80a03b2dc7,It was much more effective than his balloons.,Frank enrolled in a marine biology class.,Frank bought a water gun the next day.,2
dfeaef6d-d6be-4894-983a-e9484dc3b424,It was a gold ring!,Matt was excited to be so lucky.,Matt was frustrated about what he found.,1
1658b490-24a4-4f83-a42b-e6c679d0c2c2,It was Gina's job to pack them before they left.,Gina's family was glad that their toothbrushes weren't packed.,Gina felt guilty about forgetting everyone's toothbrushes.,2
796ab4ea-12d3-489a-b7e8-fce2b430107c,The manager of the company was really impressed by John's comments.,John commented on how badly run he thought the place was.,The manager decided to offer John the job.,2
09609ed5-1852-4e76-af8d-f08de3742d15,He halved a few of them and got out the juicer.,Ben made freshly squeezed orange juice from the oranges.,Ben sipped his apple juice contently.,1
fa694d55-2291-467e-837e-cee613230e8c,He spent the whole day playing in the snow making snowmen.,Reg hoped it would never snow again.,Reg hoped he would get another snow day soon.,2
37c168f2-e2cc-4117-879a-abcce85af37f,Caroline wanted to win the challenge.,Caroline refused to open the soda.,Caroline opened the soda and drank it all in one gulp!,2
fb9f8eff-5f05-4cd8-bb99-3ca886845607,And Tom agreed with her suggestion.,Tom got up and went for a swim.,Tom enjoyed the roasted marshmallows.,2
f8a23340-dc5f-48d5-82d3-8ab59a6d5042,The bag fell over when the sandwich hit it.,The man at the deli said the sandwich would cost more now.,The man at the deli apologized.,2
b0c7b950-cea5-460f-b573-a55e692120bc,Bob was so appreciative.,He promised to pay her back.,Bob ran away in terror.,1
5df5e38b-ea80-4122-b43e-1cf116a83e6a,It accidentally went off.,John did not have a gun.,John was surprised.,2
ba6d9c84-d0d1-4806-964d-2573c08e67c5,Then they had a picnic lunch on the banks of the Nile.,Neil was not interested in Egyptian history.,Neil had an amazing educational and cultural experience.,2
98826835-a7e8-4441-b37c-36f2179d7651,One day she gave him a slimy looking food called papaya.,John knew his papaya farm needed new capital investment.,"John ate, but told his mom that he never wanted to eat it again.",2
cc2f14bc-8e8d-4c36-9a14-a7e9e89ac52e,I looked everywhere and couldn't find it.,All my socks were accounted for.,Eventually it turned up.,2
bb4840dc-d637-4183-809a-567bb67e9935,He tripped on that shoelace of his.,Alex next ran for a seat on the school board.,Alex resolved to always check his shoelaces before leaving.,2
60642271-04f8-4129-af92-c0c6bbb206e3,"She began to skate on her own, slowly.",Before long Nina was the best basketball player in the state.,Over time she became really good.,2
08e30459-3e8f-43f0-ac30-a4f367168e45,But the hat ripped and the rabbit fell through.,The people watching him congratulated him.,And thus Sal gave up on magic.,2
59ff9775-7ab2-4aed-8a7c-1c07f9c54755,She decided to make a chocolate cake.,Lisa loved to bake.,Lisa hated baking.,1
c4d8548b-b1a0-4d5c-8004-bbe77d21b4a4,He found that they were actually very nice.,Javier went to the convenience store after school.,Javier began playing handball with them regularly.,2
f3b25856-827a-42ba-8ca1-0426c1b01219,"So the next day, he went to the toy store where he bought the car.",He bought a big package of AA batteries.,He bought another remote control car for himself.,1
31e7354c-de3a-433b-afcf-fa8885569007,"She got an emergency blanket from the backseat, and ate a snack.",Mim pulled back onto the road and drove faster to make up time.,Eventually it stopped snowing.,2
64abf5b2-354d-405a-a0c1-ba141fba015a,Absolutely none of the stores had anything good to buy.,We brought home six bags of items.,We went home without buying anything.,2
eb47c2c9-e8c7-4677-8c45-840deb78545c,She broke her arm in several places.,Betsy had to be taken to the hospital to be fitted with a cast.,Betsy played tennis afterward.,1
8cc7c8cf-053b-48e2-8d4d-6f520490e9ac,She loved it so much that she swung for an hour.,The swing was pulled around violently in the wind.,Her fear melted away as she swung.,2
393f121a-4cd6-4781-95a3-76f88137c1aa,They continued to do this every day on their walk.,The Malamute's owner never took him to the slide again.,The Malamute eventually tried to slide down the slide.,2
0fcbf8d2-a63f-4d37-b304-003c10570638,We brought him a cake and take-out food.,Tim was very happy to be remembered.,Tim was annoyed by the attention.,1
9669f392-85d9-45e8-8dc5-2b3d93b897ac,Frankie left him.,Frankie went to see a movie.,Frankie found another man.,2
538e9d85-3ff1-483d-b8de-0c62348d225b,Ian threw a pie directly in her face.,Nancy caught the pie and began to eat it.,Nancy began to cry and felt humiliated.,2
1295799e-8cd2-4da6-91cf-7515acbd14bf,A position opened up that George wanted.,He eagerly applied for it and was ultimately hired.,So he decided to go home early that day and quit his internship.,1
04e42093-ebd7-4b56-990f-e34f397e13bb,"After a year, Kevin had enough money for a down payment.",Kevin bought a house.,Kevin used the money that he had saved to buy a sports car.,1
78a60b56-2e3a-4fd6-a74f-b5b86f400540,Joe furiously stormed into the accountant's office.,Joe went for a run on the beach.,Joe asked the accountant what happened.,2
4a030972-fd37-43e8-b44f-6920cf9355b7,They robbed the train!,Sven was caught and jailed shortly after.,Sven donated the money to charity.,1
3b754b95-8b0a-4d6c-87f5-158d1de303d9,He struggled for two years to overcome cancer.,John eventually beat the cancer.,John hoped he would not get well.,1
